Metabolite,SMILES,Pathway Name,Pathway,Biosynthesis of alkaloids derived from histidine and purine,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Biosynthesis of alkaloids derived from shikimate pathway,Biosynthesis of phenylpropanoids,Biosynthesis of plant hormones,Biosynthesis of type II polyketide backbone,Brassinosteroid biosynthesis,Caffeine metabolism,Carotenoid biosynthesis,Diterpenoid biosynthesis,Flavone and flavonol biosynthesis,Flavonoid biosynthesis,Indole alkaloid biosynthesis,Isoflavonoid biosynthesis,Isoquinoline alkaloid biosynthesis,Monoterpenoid biosynthesis,Phenylpropanoid biosynthesis,Porphyrin metabolism,Steroid biosynthesis,Terpenoid backbone biosynthesis,"Tropane, piperidine and pyridine alkaloid biosynthesis",Zeatin biosynthesis
C00077,NCCC[C@H](N)C(=O)O,"['Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']",['map01064'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00083,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O,"['Biosynthesis of type II polyketide backbone', 'Biosynthesis of plant hormones']","['map01056', 'map01070']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00100,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,['Biosynthesis of type II polyketide backbone'],['map01056'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00119,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,"['Biosynthesis of alkaloids derived from histidine and purine', 'Biosynthesis of plant hormones']","['map01065', 'map01070']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00123,CC(C)C[C@H](N)C(=O)O,['Biosynthesis of alkaloids derived from histidine and purine'],['map01065'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00129,C=C(C)CCOP(=O)(O)OP(=O)(O)O,"['Terpenoid backbone biosynthesis', 'Biosynthesis of plant hormones']","['map00900', 'map01070']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C00130,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,"['Biosynthesis of alkaloids derived from histidine and purine', 'Biosynthesis of plant hormones']","['map01065', 'map01070']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00135,N[C@@H](Cc1c[nH]cn1)C(=O)O,['Biosynthesis of alkaloids derived from histidine and purine'],['map01065'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00136,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,['Biosynthesis of type II polyketide backbone'],['map01056'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00144,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,['Biosynthesis of alkaloids derived from histidine and purine'],['map01065'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00147,Nc1ncnc2[nH]cnc12,['Zeatin biosynthesis'],['map00908'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C00154,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,['Biosynthesis of plant hormones'],['map01070'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00156,O=C(O)c1ccc(O)cc1,['Biosynthesis of phenylpropanoids'],['map01061'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00166,O=C(O)C(=O)Cc1ccccc1,"['Tropane, piperidine and pyridine alkaloid biosynthesis']",['map00960'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C00170,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,['Zeatin biosynthesis'],['map00908'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C00180,O=C(O)c1ccccc1,['Biosynthesis of alkaloids derived from shikimate pathway'],['map01063'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00183,CC(C)[C@H](N)C(=O)O,['Biosynthesis of alkaloids derived from shikimate pathway'],['map01063'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00187,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,['Steroid biosynthesis'],['map00100'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C00188,C[C@@H](O)[C@H](N)C(=O)O,['Porphyrin metabolism'],['map00860'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00190,O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,['Zeatin biosynthesis'],['map00908'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C00194,C/C1=C2/N([Co+]C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)C([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4cc(C)c(C)cc43)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\N=C(/C=C4\N=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,['Porphyrin metabolism'],['map00860'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00196,O=C(O)c1cccc(O)c1O,['Biosynthesis of phenylpropanoids'],['map01061'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00230,O=C(O)c1ccc(O)c(O)c1,['Biosynthesis of phenylpropanoids'],['map01061'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00236,O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O,"['Biosynthesis of phenylpropanoids', 'Biosynthesis of alkaloids derived from shikimate pathway']","['map01061', 'map01063']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00253,O=C(O)c1cccnc1,"['Tropane, piperidine and pyridine alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']","['map00960', 'map01064']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C00254,O=C(O)C(=O)C[C@]1(C(=O)O)C=C[C@@H](O)C=C1,"['Biosynthesis of phenylpropanoids', 'Biosynthesis of alkaloids derived from shikimate pathway']","['map01061', 'map01063']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00315,NCCCCNCCCN,['Phenylpropanoid biosynthesis'],['map00940'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C00332,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,['Terpenoid backbone biosynthesis'],['map00900'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C00354,O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O,"['Biosynthesis of phenylpropanoids', 'Biosynthesis of alkaloids derived from shikimate pathway']","['map01061', 'map01063']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00355,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,"['Isoquinoline alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from shikimate pathway']","['map00950', 'map01063']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C00356,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)O,"['Terpenoid backbone biosynthesis', 'Biosynthesis of plant hormones']","['map00900', 'map01070']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C00371,C/C(=C\CNc1ncnc2[nH]cnc12)CO,"['Zeatin biosynthesis', 'Biosynthesis of plant hormones']","['map00908', 'map01070']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C00385,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,"['Caffeine metabolism', 'Biosynthesis of alkaloids derived from histidine and purine']","['map00232', 'map01065']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00388,NCCc1c[nH]cn1,['Biosynthesis of alkaloids derived from histidine and purine'],['map01065'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00389,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"['Flavonoid biosynthesis', 'Flavone and flavonol biosynthesis']","['map00941', 'map00944']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
C00398,NCCc1c[nH]c2ccccc12,"['Indole alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from shikimate pathway']","['map00901', 'map01063']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C00400,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,['Monoterpenoid biosynthesis'],['map00902'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C00407,CC[C@H](C)[C@H](N)C(=O)O,"['Tropane, piperidine and pyridine alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']","['map00960', 'map01064']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C00408,O=C(O)[C@@H]1CCCCN1,"['Tropane, piperidine and pyridine alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']","['map00960', 'map01064']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C00411,COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)cc(OC)c1O,"['Phenylpropanoid biosynthesis', 'Biosynthesis of phenylpropanoids']","['map00940', 'map01061']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C00412,CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,['Biosynthesis of plant hormones'],['map01070'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00415,Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,['Biosynthesis of phenylpropanoids'],['map01061'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00418,C[C@@](O)(CCO)CC(=O)O,"['Terpenoid backbone biosynthesis', 'Biosynthesis of plant hormones']","['map00900', 'map01070']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C00423,O=C(O)/C=C/c1ccccc1,"['Phenylpropanoid biosynthesis', 'Biosynthesis of plant hormones']","['map00940', 'map01070']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C00430,NCC(=O)CCC(=O)O,['Porphyrin metabolism'],['map00860'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00450,O=C(O)[C@@H]1CCCC=N1,"['Tropane, piperidine and pyridine alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']","['map00960', 'map01064']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C00482,COc1cc(/C=C/C(=O)O)cc(OC)c1O,"['Phenylpropanoid biosynthesis', 'Biosynthesis of phenylpropanoids']","['map00940', 'map01061']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C00483,NCCc1ccc(O)cc1,"['Isoquinoline alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from shikimate pathway']","['map00950', 'map01063']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C00486,C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,['Porphyrin metabolism'],['map00860'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00500,C=CC1=C(C)/C(=C/C2=N/C(=C\c3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,['Porphyrin metabolism'],['map00860'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00504,Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,['Biosynthesis of phenylpropanoids'],['map01061'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00512,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccccc1,"['Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']",['map01064'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00521,C=C(C)[C@@H]1CC=C(C)CC1,['Monoterpenoid biosynthesis'],['map00902'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C00524,*NC(=O)[C@H](CSC(C)C1=C(C)/C2=C/c3c(C(C)SC[C@H](NC(*)=O)C(=O)N*)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2)NC(*)=O,['Porphyrin metabolism'],['map00860'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00540,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccccc1,"['Phenylpropanoid biosynthesis', 'Flavonoid biosynthesis']","['map00940', 'map00941']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
C00541,C/C1=C2/N([Co+])C([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4cc(C)c(C)cc43)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\N=C(/C=C4\N=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,['Porphyrin metabolism'],['map00860'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00553,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,['Monoterpenoid biosynthesis'],['map00902'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C00568,Nc1ccc(C(=O)O)cc1,['Biosynthesis of phenylpropanoids'],['map01061'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00590,COc1cc(/C=C/CO)ccc1O,"['Phenylpropanoid biosynthesis', 'Biosynthesis of phenylpropanoids']","['map00940', 'map01061']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C00616,O=c1c(OS(=O)(=O)O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,['Flavone and flavonol biosynthesis'],['map00944'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C00630,CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,['Biosynthesis of alkaloids derived from shikimate pathway'],['map01063'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00631,O=C(O)[C@@H](CO)OP(=O)(O)O,"['Biosynthesis of phenylpropanoids', 'Biosynthesis of alkaloids derived from shikimate pathway']","['map01061', 'map01063']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00633,O=Cc1ccc(O)cc1,['Biosynthesis of phenylpropanoids'],['map01061'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00643,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,['Biosynthesis of alkaloids derived from shikimate pathway'],['map01063'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00655,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,['Biosynthesis of alkaloids derived from histidine and purine'],['map01065'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00729,CN1C2CCC1CC(O)C2,"['Tropane, piperidine and pyridine alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']","['map00960', 'map01064']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C00745,CN1CCC[C@H]1c1cccnc1,"['Tropane, piperidine and pyridine alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']","['map00960', 'map01064']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C00748,C[C@@]1(CC(=O)O)/C2=C/c3c(CC(=O)O)c(CCC(=O)O)c4n3[Fe]N3/C(=C\C5=N/C(=C\4)C(CCC(=O)O)=C5CC(=O)O)[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)/C3=C/C(=N2)[C@H]1CCC(=O)O,['Porphyrin metabolism'],['map00860'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00751,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,"['Steroid biosynthesis', 'Biosynthesis of plant hormones']","['map00100', 'map01070']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C00755,COc1cc(C=O)ccc1O,"['Biosynthesis of phenylpropanoids', 'Biosynthesis of alkaloids derived from shikimate pathway']","['map01061', 'map01063']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00757,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,"['Isoquinoline alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from shikimate pathway']","['map00950', 'map01063']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C00758,O=c1ccc2c(O)c3ccoc3cc2o1,['Biosynthesis of phenylpropanoids'],['map01061'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00761,COc1cc(/C=C/CO)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,['Phenylpropanoid biosynthesis'],['map00940'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C00774,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,['Flavonoid biosynthesis'],['map00941'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C00780,NCCc1c[nH]c2ccc(O)cc12,['Biosynthesis of alkaloids derived from shikimate pathway'],['map01063'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00783,CN1C2CCC1CC(=O)C2,"['Tropane, piperidine and pyridine alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']","['map00960', 'map01064']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C00786,COc1ccc([C@@H]2COc3cc(O)ccc3C2=O)c(O)c1,['Isoflavonoid biosynthesis'],['map00943'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C00805,O=C(O)c1ccccc1O,"['Biosynthesis of phenylpropanoids', 'Biosynthesis of plant hormones']","['map01061', 'map01070']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00808,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,['Monoterpenoid biosynthesis'],['map00902'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C00814,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,"['Isoflavonoid biosynthesis', 'Biosynthesis of phenylpropanoids']","['map00943', 'map01061']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C00841,O=c1ccc2cc3ccoc3c(O)c2o1,['Biosynthesis of phenylpropanoids'],['map01061'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00843,CC(C)[C@@H]1CC[C@@H](C)CC1=O,['Monoterpenoid biosynthesis'],['map00902'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C00848,CC12CCC(CC1=O)C(C)(C)O2,['Monoterpenoid biosynthesis'],['map00902'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C00852,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,"['Phenylpropanoid biosynthesis', 'Flavonoid biosynthesis']","['map00940', 'map00941']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
