Pathway,Pathway Name,Metabolite,SMILES,inchikey,inchikey_wo_last
map00010,Glycolysis / Gluconeogenesis,C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-VFUOTHLCSA-N,WQZGKKKJIJFFOK-VFUOTHLCSA-
map00010,Glycolysis / Gluconeogenesis,C00236,O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O,LJQLQCAXBUHEAZ-UWTATZPHSA-N,LJQLQCAXBUHEAZ-UWTATZPHSA-
map00010,Glycolysis / Gluconeogenesis,C00267,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-DVKNGEFBSA-N,WQZGKKKJIJFFOK-DVKNGEFBSA-
map00010,Glycolysis / Gluconeogenesis,C00354,O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O,RNBGYGVWRKECFJ-VRPWFDPXSA-N,RNBGYGVWRKECFJ-VRPWFDPXSA-
map00010,Glycolysis / Gluconeogenesis,C00469,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-
map00010,Glycolysis / Gluconeogenesis,C00631,O=C(O)[C@@H](CO)OP(=O)(O)O,GXIURPTVHJPJLF-UWTATZPHSA-N,GXIURPTVHJPJLF-UWTATZPHSA-
map00010,Glycolysis / Gluconeogenesis,C00668,O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,NBSCHQHZLSJFNQ-DVKNGEFBSA-N,NBSCHQHZLSJFNQ-DVKNGEFBSA-
map00010,Glycolysis / Gluconeogenesis,C01159,O=C(O)[C@@H](COP(=O)(O)O)OP(=O)(O)O,XOHUEYCVLUUEJJ-UWTATZPHSA-N,XOHUEYCVLUUEJJ-UWTATZPHSA-
map00010,Glycolysis / Gluconeogenesis,C01172,O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,NBSCHQHZLSJFNQ-VFUOTHLCSA-
map00010,Glycolysis / Gluconeogenesis,C01451,OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NGFMICBWJRZIBI-UJPOAAIJSA-N,NGFMICBWJRZIBI-UJPOAAIJSA-
map00010,Glycolysis / Gluconeogenesis,C05125,Cc1ncc(C[n+]2c(C(C)O)sc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,RRUVJGASJONMDY-UHFFFAOYSA-O,RRUVJGASJONMDY-UHFFFAOYSA-
map00010,Glycolysis / Gluconeogenesis,C06186,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,BJRNKVDFDLYUGJ-RMPHRYRLSA-
map00010,Glycolysis / Gluconeogenesis,C06187,O=P(O)(O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,FBHYCDOVYMVLEN-RMPHRYRLSA-N,FBHYCDOVYMVLEN-RMPHRYRLSA-
map00010,Glycolysis / Gluconeogenesis,C06188,O=P(O)(O)OC[C@H]1O[C@@H](Oc2ccccc2CO)[C@H](O)[C@@H](O)[C@@H]1O,FSJKOMDYZYBBLV-UJPOAAIJSA-N,FSJKOMDYZYBBLV-UJPOAAIJSA-
map00010,Glycolysis / Gluconeogenesis,C15972,*NC(=O)CCCC[C@@H]1CCSS1,,
map00010,Glycolysis / Gluconeogenesis,C15973,*NC(=O)CCCC[C@@H](S)CCS,,
map00010,Glycolysis / Gluconeogenesis,C16255,*NC(=O)CCCC[C@@H](S)CCSC(C)=O,,
map00020,Citrate cycle (TCA cycle),C00022,CC(=O)C(=O)O,LCTONWCANYUPML-UHFFFAOYSA-N,LCTONWCANYUPML-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,ZSLZBFCDCINBPY-ZSJPKINUSA-N,ZSLZBFCDCINBPY-ZSJPKINUSA-
map00020,Citrate cycle (TCA cycle),C00026,O=C(O)CCC(=O)C(=O)O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KPGXRSRHYNQIFN-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C00036,O=C(O)CC(=O)C(=O)O,KHPXUQMNIQBQEV-UHFFFAOYSA-N,KHPXUQMNIQBQEV-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C00042,O=C(O)CCC(=O)O,KDYFGRWQOYBRFD-UHFFFAOYSA-N,KDYFGRWQOYBRFD-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C00068,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,AYEKOFBPNLCAJY-UHFFFAOYSA-O,AYEKOFBPNLCAJY-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C00074,C=C(OP(=O)(O)O)C(=O)O,DTBNBXWJWCWCIK-UHFFFAOYSA-N,DTBNBXWJWCWCIK-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C00091,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O,VNOYUJKHFWYWIR-ITIYDSSPSA-N,VNOYUJKHFWYWIR-ITIYDSSPSA-
map00020,Citrate cycle (TCA cycle),C00122,O=C(O)/C=C/C(=O)O,VZCYOOQTPOCHFL-OWOJBTEDSA-N,VZCYOOQTPOCHFL-OWOJBTEDSA-
map00020,Citrate cycle (TCA cycle),C00149,O=C(O)C[C@H](O)C(=O)O,BJEPYKJPYRNKOW-REOHCLBHSA-N,BJEPYKJPYRNKOW-REOHCLBHSA-
map00020,Citrate cycle (TCA cycle),C00158,O=C(O)CC(O)(CC(=O)O)C(=O)O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,KRKNYBCHXYNGOX-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C00311,O=C(O)CC(C(=O)O)C(O)C(=O)O,ODBLHEXUDAPZAU-UHFFFAOYSA-N,ODBLHEXUDAPZAU-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C00417,O=C(O)/C=C(/CC(=O)O)C(=O)O,GTZCVFVGUGFEME-IWQZZHSRSA-N,GTZCVFVGUGFEME-IWQZZHSRSA-
map00020,Citrate cycle (TCA cycle),C05125,Cc1ncc(C[n+]2c(C(C)O)sc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,RRUVJGASJONMDY-UHFFFAOYSA-O,RRUVJGASJONMDY-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C05379,O=C(O)CC(C(=O)O)C(=O)C(=O)O,UFSCUAXLTRFIDC-UHFFFAOYSA-N,UFSCUAXLTRFIDC-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C05381,Cc1ncc(C[n+]2c(C(O)CCC(=O)O)sc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,ZWUKRGPVMMTMAF-UHFFFAOYSA-O,ZWUKRGPVMMTMAF-UHFFFAOYSA-
map00020,Citrate cycle (TCA cycle),C15972,*NC(=O)CCCC[C@@H]1CCSS1,,
map00020,Citrate cycle (TCA cycle),C15973,*NC(=O)CCCC[C@@H](S)CCS,,
map00020,Citrate cycle (TCA cycle),C16254,*NC(=O)CCCC[C@@H](S)CCSC(=O)CCC(=O)O,,
map00020,Citrate cycle (TCA cycle),C16255,*NC(=O)CCCC[C@@H](S)CCSC(C)=O,,
map00030,Pentose phosphate pathway,C00022,CC(=O)C(=O)O,LCTONWCANYUPML-UHFFFAOYSA-N,LCTONWCANYUPML-UHFFFAOYSA-
map00030,Pentose phosphate pathway,C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-GASJEMHNSA-N,WQZGKKKJIJFFOK-GASJEMHNSA-
map00030,Pentose phosphate pathway,C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,BGWGXPAPYGQALX-VRPWFDPXSA-N,BGWGXPAPYGQALX-VRPWFDPXSA-
map00030,Pentose phosphate pathway,C00117,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O,KTVPXOYAKDPRHY-SOOFDHNKSA-N,KTVPXOYAKDPRHY-SOOFDHNKSA-
map00030,Pentose phosphate pathway,C00118,O=C[C@H](O)COP(=O)(O)O,LXJXRIRHZLFYRP-VKHMYHEASA-N,LXJXRIRHZLFYRP-VKHMYHEASA-
map00030,Pentose phosphate pathway,C00119,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,PQGCEDQWHSBAJP-TXICZTDVSA-N,PQGCEDQWHSBAJP-TXICZTDVSA-
map00030,Pentose phosphate pathway,C00121,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,HMFHBZSHGGEWLO-SOOFDHNKSA-N,HMFHBZSHGGEWLO-SOOFDHNKSA-
map00030,Pentose phosphate pathway,C00197,O=C(O)[C@H](O)COP(=O)(O)O,OSJPPGNTCRNQQC-UWTATZPHSA-N,OSJPPGNTCRNQQC-UWTATZPHSA-
map00030,Pentose phosphate pathway,C00198,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,PHOQVHQSTUBQQK-SQOUGZDYSA-N,PHOQVHQSTUBQQK-SQOUGZDYSA-
map00030,Pentose phosphate pathway,C00199,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O,FNZLKVNUWIIPSJ-UHNVWZDZSA-N,FNZLKVNUWIIPSJ-UHNVWZDZSA-
map00030,Pentose phosphate pathway,C00204,O=C(O)C(=O)C[C@H](O)[C@H](O)CO,WPAMZTWLKIDIOP-WVZVXSGGSA-N,WPAMZTWLKIDIOP-WVZVXSGGSA-
map00030,Pentose phosphate pathway,C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-VFUOTHLCSA-N,WQZGKKKJIJFFOK-VFUOTHLCSA-
map00030,Pentose phosphate pathway,C00231,O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O,FNZLKVNUWIIPSJ-RFZPGFLSSA-N,FNZLKVNUWIIPSJ-RFZPGFLSSA-
map00030,Pentose phosphate pathway,C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,RGHNJXZEOKUKBD-SQOUGZDYSA-N,RGHNJXZEOKUKBD-SQOUGZDYSA-
map00030,Pentose phosphate pathway,C00258,O=C(O)[C@H](O)CO,RBNPOMFGQQGHHO-UWTATZPHSA-N,RBNPOMFGQQGHHO-UWTATZPHSA-
map00030,Pentose phosphate pathway,C00279,O=C[C@H](O)[C@H](O)COP(=O)(O)O,NGHMDNPXVRFFGS-IUYQGCFVSA-N,NGHMDNPXVRFFGS-IUYQGCFVSA-
map00030,Pentose phosphate pathway,C00345,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,BIRSGZKFKXLSJQ-SQOUGZDYSA-N,BIRSGZKFKXLSJQ-SQOUGZDYSA-
map00030,Pentose phosphate pathway,C00354,O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O,RNBGYGVWRKECFJ-VRPWFDPXSA-N,RNBGYGVWRKECFJ-VRPWFDPXSA-
map00030,Pentose phosphate pathway,C00577,O=C[C@H](O)CO,MNQZXJOMYWMBOU-VKHMYHEASA-N,MNQZXJOMYWMBOU-VKHMYHEASA-
map00030,Pentose phosphate pathway,C00620,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O,YXJDFQJKERBOBM-TXICZTDVSA-N,YXJDFQJKERBOBM-TXICZTDVSA-
map00030,Pentose phosphate pathway,C00631,O=C(O)[C@@H](CO)OP(=O)(O)O,GXIURPTVHJPJLF-UWTATZPHSA-N,GXIURPTVHJPJLF-UWTATZPHSA-
map00030,Pentose phosphate pathway,C00668,O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,NBSCHQHZLSJFNQ-DVKNGEFBSA-N,NBSCHQHZLSJFNQ-DVKNGEFBSA-
map00030,Pentose phosphate pathway,C00672,O=P(O)(O)O[C@@H]1C[C@H](O)[C@@H](CO)O1,KBDKAJNTYKVSEK-VPENINKCSA-N,KBDKAJNTYKVSEK-VPENINKCSA-
map00030,Pentose phosphate pathway,C00673,O=P(O)(O)OC[C@H]1OC(O)C[C@@H]1O,KKZFLSZAWCYPOC-PYHARJCCSA-N,KKZFLSZAWCYPOC-PYHARJCCSA-
map00030,Pentose phosphate pathway,C01151,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O,AAAFZMYJJHWUPN-TXICZTDVSA-N,AAAFZMYJJHWUPN-TXICZTDVSA-
map00030,Pentose phosphate pathway,C01172,O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,NBSCHQHZLSJFNQ-VFUOTHLCSA-
map00030,Pentose phosphate pathway,C01182,O=C(COP(=O)(O)O)[C@H](O)[C@H](O)COP(=O)(O)O,YAHZABJORDUQGO-NQXXGFSBSA-N,YAHZABJORDUQGO-NQXXGFSBSA-
map00030,Pentose phosphate pathway,C01218,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,ZKUSPPOKDDRMIU-JJYYJPOSSA-N,ZKUSPPOKDDRMIU-JJYYJPOSSA-
map00030,Pentose phosphate pathway,C01236,O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,IJOJIVNDFQSGAB-SQOUGZDYSA-N,IJOJIVNDFQSGAB-SQOUGZDYSA-
map00030,Pentose phosphate pathway,C01801,OC[C@H]1OC(O)C[C@@H]1O,PDWIQYODPROSQH-PYHARJCCSA-N,PDWIQYODPROSQH-PYHARJCCSA-
map00030,Pentose phosphate pathway,C02076,OC[C@H]1OC(O)(CO)[C@@H](O)[C@H](O)[C@@H]1O,HAIWUXASLYEWLM-QTSLKERKSA-N,HAIWUXASLYEWLM-QTSLKERKSA-
map00030,Pentose phosphate pathway,C03752,N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO,UFYKDFXCZBTLOO-TXICZTDVSA-N,UFYKDFXCZBTLOO-TXICZTDVSA-
map00030,Pentose phosphate pathway,C04442,O=C(O)C(=O)C[C@H](O)[C@H](O)COP(=O)(O)O,OVPRPPOVAXRCED-WVZVXSGGSA-N,OVPRPPOVAXRCED-WVZVXSGGSA-
map00030,Pentose phosphate pathway,C05382,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,JDTUMPKOJBQPKX-GBNDHIKLSA-N,JDTUMPKOJBQPKX-GBNDHIKLSA-
map00030,Pentose phosphate pathway,C06019,O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)(O)O,UZYFNQCWJLIAKE-ZMIZWQJLSA-N,UZYFNQCWJLIAKE-ZMIZWQJLSA-
map00030,Pentose phosphate pathway,C06473,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO,VBUYCZFBVCCYFD-JJYYJPOSSA-N,VBUYCZFBVCCYFD-JJYYJPOSSA-
map00030,Pentose phosphate pathway,C20589,N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,JZTCDGMXXSOZRP-TXICZTDVSA-N,JZTCDGMXXSOZRP-TXICZTDVSA-
map00100,Steroid biosynthesis,C00187,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,HVYWMOMLDIMFJA-DPAQBDIFSA-N,HVYWMOMLDIMFJA-DPAQBDIFSA-
map00100,Steroid biosynthesis,C00448,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,VWFJDQUYCIWHTN-YFVJMOTDSA-N,VWFJDQUYCIWHTN-YFVJMOTDSA-
map00100,Steroid biosynthesis,C00751,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,YYGNTYWPHWGJRM-AAJYLUCBSA-N,YYGNTYWPHWGJRM-AAJYLUCBSA-
map00100,Steroid biosynthesis,C01054,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C,QYIMSPSDBYKPPY-RSKUXYSASA-N,QYIMSPSDBYKPPY-RSKUXYSASA-
map00100,Steroid biosynthesis,C01164,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,UCTLRSWJYQTBFZ-DDPQNLDTSA-N,UCTLRSWJYQTBFZ-DDPQNLDTSA-
map00100,Steroid biosynthesis,C01189,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,IZVFFXVYBHFIHY-SKCNUYALSA-N,IZVFFXVYBHFIHY-SKCNUYALSA-
map00100,Steroid biosynthesis,C01561,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,JWUBBDSIWDLEOM-DTOXIADCSA-N,JWUBBDSIWDLEOM-DTOXIADCSA-
map00100,Steroid biosynthesis,C01673,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,GMRQFYUYWCNGIN-NKMMMXOESA-N,GMRQFYUYWCNGIN-NKMMMXOESA-
map00100,Steroid biosynthesis,C01694,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,DNVPQKQSNYMLRS-APGDWVJJSA-N,DNVPQKQSNYMLRS-APGDWVJJSA-
map00100,Steroid biosynthesis,C01724,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,CAHGCLMLTWQZNJ-BQNIITSRSA-N,CAHGCLMLTWQZNJ-BQNIITSRSA-
map00100,Steroid biosynthesis,C01753,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS-VJSFXXLFSA-
map00100,Steroid biosynthesis,C01789,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,SGNBVLSWZMBQTH-PODYLUTMSA-N,SGNBVLSWZMBQTH-PODYLUTMSA-
map00100,Steroid biosynthesis,C01802,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,AVSXSVCZWQODGV-DPAQBDIFSA-N,AVSXSVCZWQODGV-DPAQBDIFSA-
map00100,Steroid biosynthesis,C01902,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,ONQRKEUAIJMULO-YBXTVTTCSA-N,ONQRKEUAIJMULO-YBXTVTTCSA-
map00100,Steroid biosynthesis,C01943,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@@H]1CC3)C(C)C,MMNYKQIDRZNIKT-VSADUBDNSA-N,MMNYKQIDRZNIKT-VSADUBDNSA-
map00100,Steroid biosynthesis,C02141,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C,HUNLTIZKNQDZEI-PGFZVWMDSA-N,HUNLTIZKNQDZEI-PGFZVWMDSA-
map00100,Steroid biosynthesis,C02530,*C(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1,,
map00100,Steroid biosynthesis,C03428,CC(C)=CCC/C(C)=C/CC/C(C)=C/[C@@H]1[C@@H](COP(=O)(O)OP(=O)(O)O)[C@]1(C)CC/C=C(\C)CCC=C(C)C,ATZKAUGGNMSCCY-VVFNRDJMSA-N,ATZKAUGGNMSCCY-VVFNRDJMSA-
map00100,Steroid biosynthesis,C03845,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3,QETLKNDKQOXZRP-XTGBIJOFSA-N,QETLKNDKQOXZRP-XTGBIJOFSA-
map00100,Steroid biosynthesis,C04525,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3)C(C)C,SLQKYSPHBZMASJ-QKPORZECSA-N,SLQKYSPHBZMASJ-QKPORZECSA-
map00100,Steroid biosynthesis,C05103,CC(C)=CCC[C@@H](C)C1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@@H]1CC3,FOUJWBXBKVVHCJ-LVELUJLUSA-N,FOUJWBXBKVVHCJ-LVELUJLUSA-
map00100,Steroid biosynthesis,C05107,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,RUSSPKPUXDSHNC-DDPQNLDTSA-N,RUSSPKPUXDSHNC-DDPQNLDTSA-
map00100,Steroid biosynthesis,C05108,CC(C)=CCC[C@@H](C)[C@H]1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,CHGIKSSZNBCNDW-HFPXORMNSA-N,CHGIKSSZNBCNDW-HFPXORMNSA-
map00100,Steroid biosynthesis,C05109,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,MBZYKEVPFYHDOH-BQNIITSRSA-N,MBZYKEVPFYHDOH-BQNIITSRSA-
map00100,Steroid biosynthesis,C05437,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3,CGSJXLIKVBJVRY-XTGBIJOFSA-N,CGSJXLIKVBJVRY-XTGBIJOFSA-
map00100,Steroid biosynthesis,C05439,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,PKEPPDGGTSZLBL-FZAJRYLSSA-N,PKEPPDGGTSZLBL-FZAJRYLSSA-
map00100,Steroid biosynthesis,C05440,C=C(/C=C/[C@@H](C)C1CCC2C3=CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C)C(C)C,SQFQJKZSFOZDJY-UDHQOCSDSA-N,SQFQJKZSFOZDJY-UDHQOCSDSA-
map00100,Steroid biosynthesis,C05441,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,MECHNRXZTMCUDQ-RKHKHRCZSA-N,MECHNRXZTMCUDQ-RKHKHRCZSA-
map00100,Steroid biosynthesis,C05442,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,HCXVJBMSMIARIN-PHZDYDNGSA-N,HCXVJBMSMIARIN-PHZDYDNGSA-
