Pathway,Pathway Name,Metabolite,SMILES
map00030,Pentose phosphate pathway,C02076,OC[C@H]1OC(O)(CO)[C@@H](O)[C@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C03752,N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO
map00030,Pentose phosphate pathway,C04442,O=C(O)C(=O)C[C@H](O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C05382,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C06019,O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C06473,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO
map00030,Pentose phosphate pathway,C20589,N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
map00100,Steroid biosynthesis,C00187,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
map00100,Steroid biosynthesis,C00448,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
map00100,Steroid biosynthesis,C00751,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
map00100,Steroid biosynthesis,C01054,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C
map00100,Steroid biosynthesis,C01164,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
map00100,Steroid biosynthesis,C01189,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
map00100,Steroid biosynthesis,C01561,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12
map00100,Steroid biosynthesis,C01673,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
map00100,Steroid biosynthesis,C01694,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
map00100,Steroid biosynthesis,C01724,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
map00100,Steroid biosynthesis,C01753,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C01789,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
map00100,Steroid biosynthesis,C01802,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
map00100,Steroid biosynthesis,C01902,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C
map00100,Steroid biosynthesis,C01943,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@@H]1CC3)C(C)C
map00100,Steroid biosynthesis,C02141,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C02530,*C(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1
map00100,Steroid biosynthesis,C03428,CC(C)=CCC/C(C)=C/CC/C(C)=C/[C@@H]1[C@@H](COP(=O)(O)OP(=O)(O)O)[C@]1(C)CC/C=C(\C)CCC=C(C)C
map00100,Steroid biosynthesis,C03845,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3
map00100,Steroid biosynthesis,C04525,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3)C(C)C
map00100,Steroid biosynthesis,C05103,CC(C)=CCC[C@@H](C)C1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@@H]1CC3
map00100,Steroid biosynthesis,C05107,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
map00100,Steroid biosynthesis,C05108,CC(C)=CCC[C@@H](C)[C@H]1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
map00100,Steroid biosynthesis,C05109,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
map00100,Steroid biosynthesis,C05437,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3
map00100,Steroid biosynthesis,C05439,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C
map00100,Steroid biosynthesis,C05440,C=C(/C=C/[C@@H](C)C1CCC2C3=CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C)C(C)C
map00100,Steroid biosynthesis,C05441,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
map00100,Steroid biosynthesis,C05442,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C05443,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
map00100,Steroid biosynthesis,C07712,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)(C)O)CC[C@@H]12
map00100,Steroid biosynthesis,C08813,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
map00100,Steroid biosynthesis,C08821,C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C08830,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C11455,CC(C)=CCC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
map00100,Steroid biosynthesis,C11508,C=C(CC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@@H]1CC3)C(C)C
map00100,Steroid biosynthesis,C11522,C=C(CC[C@@H](C)[C@H]1CCC2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
map00100,Steroid biosynthesis,C11523,C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C15776,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@@H]1CC3)C(C)C
map00100,Steroid biosynthesis,C15777,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C15780,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C15781,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C15782,C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C15783,C/C=C(/CC[C@@H](C)C1CCC2C3=CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C)C(C)C
map00100,Steroid biosynthesis,C15808,CC(C)=CCC[C@@H](C)C1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@](C)(C(=O)O)[C@@H]1CC3
map00100,Steroid biosynthesis,C15816,CC(C)=CCC[C@@H](C)C1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CCC(=O)C(C)[C@@H]1CC3
map00100,Steroid biosynthesis,C15915,CC(C)CCC[C@@H](C)[C@H]1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
map00100,Steroid biosynthesis,C18231,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
map00100,Steroid biosynthesis,C21106,CC(C)[C@@H](C)CC[C@@H](C)[C@H]1CC[C@H]2C3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
map00100,Steroid biosynthesis,C22112,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C(=O)O)[C@@H]1CC3
map00100,Steroid biosynthesis,C22116,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@](C)(C(=O)O)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C22119,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C(=O)O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C22120,C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C(=O)O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C22121,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C22122,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C22123,C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
map00100,Steroid biosynthesis,C22136,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C[C@@H]1CC3
map00220,Arginine biosynthesis,C00011,O=C=O
map00220,Arginine biosynthesis,C00014,N
map00220,Arginine biosynthesis,C00025,N[C@@H](CCC(=O)O)C(=O)O
map00220,Arginine biosynthesis,C00026,O=C(O)CCC(=O)C(=O)O
map00220,Arginine biosynthesis,C00049,N[C@@H](CC(=O)O)C(=O)O
map00220,Arginine biosynthesis,C00062,N=C(N)NCCC[C@H](N)C(=O)O
map00220,Arginine biosynthesis,C00064,NC(=O)CC[C@H](N)C(=O)O
map00220,Arginine biosynthesis,C00077,NCCC[C@H](N)C(=O)O
map00220,Arginine biosynthesis,C00086,NC(N)=O
map00220,Arginine biosynthesis,C00122,O=C(O)/C=C/C(=O)O
map00220,Arginine biosynthesis,C00169,NC(=O)OP(=O)(O)O
map00220,Arginine biosynthesis,C00288,O=C([O-])O
map00220,Arginine biosynthesis,C00327,NC(=O)NCCC[C@H](N)C(=O)O
map00220,Arginine biosynthesis,C00437,CC(=O)N[C@@H](CCCN)C(=O)O
map00220,Arginine biosynthesis,C00624,CC(=O)N[C@@H](CCC(=O)O)C(=O)O
map00220,Arginine biosynthesis,C01010,NC(=O)NC(=O)O
map00220,Arginine biosynthesis,C01250,CC(=O)N[C@@H](CCC=O)C(=O)O
map00220,Arginine biosynthesis,C03406,N=C(NCCC[C@H](N)C(=O)O)N[C@@H](CC(=O)O)C(=O)O
map00220,Arginine biosynthesis,C04133,CC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
map00220,Arginine biosynthesis,C15532,CC(=O)N[C@@H](CCCNC(N)=O)C(=O)O
map00220,Arginine biosynthesis,C20948,*N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O
map00220,Arginine biosynthesis,C20949,*N[C@@H](CCC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O)C(=O)O
map00220,Arginine biosynthesis,C20950,*N[C@@H](CCC(=O)N[C@@H](CCC=O)C(=O)O)C(=O)O
map00220,Arginine biosynthesis,C20951,*N[C@@H](CCC(=O)N[C@@H](CCCN)C(=O)O)C(=O)O
map00230,Purine metabolism,C00002,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
map00230,Purine metabolism,C00008,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
map00230,Purine metabolism,C00011,O=C=O
map00230,Purine metabolism,C00014,N
map00230,Purine metabolism,C00020,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
map00230,Purine metabolism,C00035,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
map00230,Purine metabolism,C00037,NCC(=O)O
map00230,Purine metabolism,C00039,*[C@H]1C[C@H](OP(=O)(O)OC[C@H]2O[C@@H](*)C[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](*)C[C@@H]2O)[C@@H](CO)O1
map00230,Purine metabolism,C00044,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
map00230,Purine metabolism,C00046,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O
map00230,Purine metabolism,C00048,O=CC(=O)O
map00230,Purine metabolism,C00053,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O
map00230,Purine metabolism,C00054,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
map00230,Purine metabolism,C00059,O=S(=O)(O)O
map00230,Purine metabolism,C00064,NC(=O)CC[C@H](N)C(=O)O
map00230,Purine metabolism,C00081,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
map00230,Purine metabolism,C00086,NC(N)=O
map00230,Purine metabolism,C00104,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
map00230,Purine metabolism,C00117,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O
map00230,Purine metabolism,C00119,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O
map00230,Purine metabolism,C00130,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
map00230,Purine metabolism,C00131,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
map00230,Purine metabolism,C00144,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
map00230,Purine metabolism,C00147,Nc1ncnc2[nH]cnc12
map00230,Purine metabolism,C00169,NC(=O)OP(=O)(O)O
map00230,Purine metabolism,C00206,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1
map00230,Purine metabolism,C00209,O=C(O)C(=O)O
map00230,Purine metabolism,C00212,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
map00230,Purine metabolism,C00224,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O
map00230,Purine metabolism,C00242,Nc1nc2[nH]cnc2c(=O)[nH]1
map00230,Purine metabolism,C00262,O=c1[nH]cnc2[nH]cnc12
map00230,Purine metabolism,C00286,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
map00230,Purine metabolism,C00288,O=C([O-])O
