Pathway ID,Type,Pathway Name,Metabolite,Name,SMILES
PWY-7150,FLAVONOL-SYN,,CPD-14857,"3,7,4'-trimethylquercetagetin",COC3(\C(\O)=C/C(/C1(/OC2(\C(\C(=O)C(/OC)=1)=C(C(\O)=C(/C=2)\OC)\O)))=C\C=3)
PWY-7150,FLAVONOL-SYN,,345-TRIHYDROXY-37-DIMETHOXYFLAVONE,"3,7-dimethylquercetin",COC3(\C=C2(C(\C(=O)C(/OC)=C(C1(\C=C(C(/O)=C\C=1)\O))\O2)=C(/C=3)\O))
PWY-7150,FLAVONOL-SYN,,3457-TETRAHYDROXY-3-METHOXYFLAVONE,3-O-methylquercetin,COC2(\C(=O)C3(/C(/OC(\C1(/C=C(C(/O)=C\C=1)/O))=2)=C\C(\[O-])=C/C(/O)=3))
PWY-7397,FLAVONOID-SYN,naringenin biosynthesis (engineered),TYR,L-tyrosine,C([C@H](CC1(\C=C/C(/O)=C\C=1))[NH3+])(=O)[O-]
PWY-7397,FLAVONOID-SYN,naringenin biosynthesis (engineered),COUMARATE,4-coumarate,C(=O)([O-])/C=C/C1(\C=C/C(/O)=C\C=1)
PWY-7397,FLAVONOID-SYN,naringenin biosynthesis (engineered),CPD-20012,naringenin chalcone,C2(\C(/C=C/C(C1(/C(/O)=C\C(\O)=C/C(/O)=1))=O)=C/C=C(\C=2)/O)
PWY-7397,FLAVONOID-SYN,naringenin biosynthesis (engineered),NARINGENIN-CMPD,(2<i>S</i>)-naringenin,C3(/C=C(\C=C/C(/[C@H]1(OC2(\C(\C(C1)=O)=C(/C=C(/C=2)/O)\O)))=3)/O)
PWY-7397,FLAVONOID-SYN,naringenin biosynthesis (engineered),P-COUMAROYL-COA,(<i>E</i>)-4-coumaroyl-CoA,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/C1(\C=C/C(/O)=C\C=1))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
PWY-5408,FATTY-ACID-DERIVATIVE-SYN,9-lipoxygenase and 9-hydroperoxide lyase pathway,CPD-8678,9(<i>S</i>)-HPOTE,CC\C=C/C\C=C/C=C/[C@H](CCCCCCCC([O-])=O)OO
PWY-5408,FATTY-ACID-DERIVATIVE-SYN,9-lipoxygenase and 9-hydroperoxide lyase pathway,CPD-21295,"(2E,6Z)-non-2,6-dienal",CC\C=C/CC/C=C/C=O
PWY-5408,FATTY-ACID-DERIVATIVE-SYN,9-lipoxygenase and 9-hydroperoxide lyase pathway,CPD-8686,9-oxononanoate,C(=O)CCCCCCCC(=O)[O-]
PWY-5408,FATTY-ACID-DERIVATIVE-SYN,9-lipoxygenase and 9-hydroperoxide lyase pathway,CPD-8677,(9<i>S</i>)-HPODE,CCCCC\C=C/C=C/[C@H](CCCCCCCC([O-])=O)OO
PWY-5408,FATTY-ACID-DERIVATIVE-SYN,9-lipoxygenase and 9-hydroperoxide lyase pathway,T-2-NONENAL-CMPD,(<i>E</i>)-2-nonen-1-al,CCCCCC/C=C/C=O
PWY-5408,FATTY-ACID-DERIVATIVE-SYN,9-lipoxygenase and 9-hydroperoxide lyase pathway,LINOLENIC_ACID,&alpha;-linolenate,CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)[O-]
PWY-5408,FATTY-ACID-DERIVATIVE-SYN,9-lipoxygenase and 9-hydroperoxide lyase pathway,LINOLEIC_ACID,linoleate,CCCCC\C=C/C\C=C/CCCCCCCC([O-])=O
PWY-7191,FLAVONOL-SYN,kaempferol diglycoside biosynthesis (pollen-specific),CPD-7260,kaempferol 3-<i>O</i>-&beta;-D-galactoside,C([C@H]4(O[C@@H](OC2(\C(C3(/C(/OC(\C1(/C=C\C(\O)=C/C=1))=2)=C\C(\[O-])=C/C(/O)=3))=O))[C@@H]([C@@H](O)[C@H]4O)O))O
PWY-7191,FLAVONOL-SYN,kaempferol diglycoside biosynthesis (pollen-specific),CPD-15105,kaempferol 3-<i>O</i>-&beta;-<i>D</i>-glucosylgalactoside,C([C@H]4(O[C@@H](OC2(\C(C3(/C(/OC(\C1(/C=C\C(\O)=C/C=1))=2)=C\C(\[O-])=C/C(/O)=3))=O))[C@@H]([C@@H](O)[C@H]4O)O[C@H]5([C@@H]([C@H]([C@H](O)[C@H](O5)CO)O)O)))O
PWY-7191,FLAVONOL-SYN,kaempferol diglycoside biosynthesis (pollen-specific),CPD1F-90,kaempferol,C3(/C=C(\C=C/C(/C1(/OC2(/C=C(/C=C(C(\C(C(/[O-])=1)=O)=2)/O)/O)))=3)/O)
PWY-5473,N-CONTAINING-SECONDARY-CMPD-SYN,hydroxycinnamic acid serotonin amides biosynthesis,SEROTONIN,serotonin,C([NH3+])CC1(\C2(/C=C(\C=C/C(/N\C=1)=2)/O))
PWY-5473,N-CONTAINING-SECONDARY-CMPD-SYN,hydroxycinnamic acid serotonin amides biosynthesis,CPD-8937,cinnamoylserotonin,C(NC(=O)/C=C/C1(\C=C/C=C\C=1))CC2(\C3(/C=C(\C=C/C(/N\C=2)=3)/O))
PWY-5473,N-CONTAINING-SECONDARY-CMPD-SYN,hydroxycinnamic acid serotonin amides biosynthesis,CPD-8936,p-coumaroylserotonin,C(NC(=O)/C=C/C1(\C=C/C(/O)=C\C=1))CC2(\C3(/C=C(\C=C/C(/N\C=2)=3)/O))
PWY-5473,N-CONTAINING-SECONDARY-CMPD-SYN,hydroxycinnamic acid serotonin amides biosynthesis,CPD-8935,feruloylserotonin,COC3(\C(\O)=C/C=C(/C=C/C(NCCC1(\C2(/C=C(\C=C/C(/N\C=1)=2)/O)))=O)/C=3)
PWY-5473,N-CONTAINING-SECONDARY-CMPD-SYN,hydroxycinnamic acid serotonin amides biosynthesis,CPD-8934,caffeoylserotonin,C(NC(=O)/C=C/C1(/C=C(C(/O)=C\C=1)/O))CC2(\C3(/C=C(\C=C/C(/N\C=2)=3)/O))
PWY-5473,N-CONTAINING-SECONDARY-CMPD-SYN,hydroxycinnamic acid serotonin amides biosynthesis,TRYPTAMINE,tryptamine,C([NH3+])CC1(\C2(/C=C\C=C/C(/N\C=1)=2))
PWY-5473,N-CONTAINING-SECONDARY-CMPD-SYN,hydroxycinnamic acid serotonin amides biosynthesis,TRP,L-tryptophan,C1(\NC2(/C=C\C=C/C(/C(\C[C@H]([NH3+])C(=O)[O-])=1)=2))
PWY-2921,TERPENOID-PHYTOALEXINS,capsidiol biosynthesis,CPD-4662,1-deoxycapsidiol,C=C([C@H]2(C[C@@]1([C@@H]([C@@H](CCC/1=C\C2)O)C)C))C
PWY-2921,TERPENOID-PHYTOALEXINS,capsidiol biosynthesis,CPD-4661,capsidiol,C=C([C@H]2(C[C@@]1([C@@H]([C@@H](C[C@H](C/1=C/C2)O)O)C)C))C
PWY-2921,TERPENOID-PHYTOALEXINS,capsidiol biosynthesis,CPD-4663,3-deoxycapsidiol,C=C([C@H]2(C[C@@]1([C@@H](CC[C@H](C/1=C/C2)O)C)C))C
PWY-2921,TERPENOID-PHYTOALEXINS,capsidiol biosynthesis,CPD-4664,(+)-5-<i>epi</i>-aristolochene,C=C([C@H]2(C[C@@]1([C@@H](CCCC/1=C\C2)C)C))C
PWY-2921,TERPENOID-PHYTOALEXINS,capsidiol biosynthesis,FARNESYL-PP,"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate",CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-]
PWY-5423,MONOTERPENOID-SYN,oleoresin monoterpene volatiles biosynthesis,GERANYL-PP,geranyl diphosphate,CC(C)=CCCC(\C)=C/COP([O-])(OP(=O)([O-])[O-])=O
PWY-5423,MONOTERPENOID-SYN,oleoresin monoterpene volatiles biosynthesis,CPD-4921,(-)-camphene,C=C1([C@@H]2(CC[C@H](C1(C)C)C2))
PWY-5423,MONOTERPENOID-SYN,oleoresin monoterpene volatiles biosynthesis,CPD-4902,tricyclene,CC1(C)([C@@]3(C)(C2(C(C[C@H]1C2)3)))
PWY-5423,MONOTERPENOID-SYN,oleoresin monoterpene volatiles biosynthesis,CPD-8756,(+)-3-carene,CC2(\C[C@@H]1(C(C)(C)[C@@H]1C\C=2))
PWY-5423,MONOTERPENOID-SYN,oleoresin monoterpene volatiles biosynthesis,CPD-8768,(-)-&beta;-phellandrene,CC([C@H]1(CCC(\C=C/1)=C))C
PWY-5423,MONOTERPENOID-SYN,oleoresin monoterpene volatiles biosynthesis,CPD-4888,&beta;-myrcene,C=CC(CCC=C(C)C)=C
PWY-5423,MONOTERPENOID-SYN,oleoresin monoterpene volatiles biosynthesis,CPD-4892,(-)-&alpha;-pinene,CC1(\[C@@H]2(C[C@H](C\C=1)C2(C)C))
PWY-5423,MONOTERPENOID-SYN,oleoresin monoterpene volatiles biosynthesis,CPD-4891,(-)-&beta;-pinene,C=C1(CC[C@H]2(C[C@@H]1C2(C)C))
PWY-5423,MONOTERPENOID-SYN,oleoresin monoterpene volatiles biosynthesis,CPD-4886,(4<i>S</i>)-limonene,C=C(C)[C@@H]1(C\C=C(C)/CC1)
PWY-6673,PHENYLPROPANOID-SYN,caffeoylglucarate biosynthesis,CAFFEOYLQUINATE,<i>trans</i>-5-O-caffeoyl-D-quinate,C([O-])(=O)[C@]1(O)(C[C@@H](O)[C@@H](O)[C@@H](C1)OC(=O)/C=C/C2(\C=C/C(/O)=C(C=2)/O))
PWY-6673,PHENYLPROPANOID-SYN,caffeoylglucarate biosynthesis,2-O-CAFFEOYLGLUCARATE,2-O-caffeoylglucarate,C1(\C(/C=C/C(=O)O[C@H]([C@H]([C@@H]([C@@H](C(=O)[O-])O)O)O)C(=O)[O-])=CC(\O)=C(\C=1)\O)
PWY-6673,PHENYLPROPANOID-SYN,caffeoylglucarate biosynthesis,CAFFEOYL-COA,<i>trans</i>-caffeoyl-CoA,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/C1(/C=C(C(/O)=C\C=1)/O))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
PWY-6673,PHENYLPROPANOID-SYN,caffeoylglucarate biosynthesis,CPD-676,<i>trans</i>-caffeate,C([O-])(=O)/C=C/C1(/C=C(C(/O)=C\C=1)/O)
PWY-5319,COUMARIN-SYN,coumarin metabolism (to melilotic acid),DIHYDROCOUMARIN,"3,4-dihydrocoumarin",C2(\C=C1(CCC(OC/1=C/C=2)=O))
PWY-5319,COUMARIN-SYN,coumarin metabolism (to melilotic acid),MELILOTATE,melilotate,C(CCC1(\C(\O)=C/C=C\C=1))([O-])=O
PWY-5319,COUMARIN-SYN,coumarin metabolism (to melilotic acid),COUMARIN,coumarin,C1(OC2(\C(/C=C\1)=C/C=C\C=2))=O
PWY-5371,QUINONE-SYN,chrysophanol biosynthesis,CPD-8215,emodin,CC3(\C=C1(C(\C(C2(/C(/C1=O)=C\C(\[O-])=C/C(/O)=2))=O)=C(\C=3)\O))
PWY-5371,QUINONE-SYN,chrysophanol biosynthesis,CPD-8216,chrysophanol,CC1(\C=C(C2(\C(=O)C3(/C(/O)=C\C=C/C(/C(=O)C(/C=1)=2)=3)))\O)
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,CPD-15030,"(+)-<i>cis,trans</i>-nepetalactol",C[C@H]1(CC[C@H]2([C@@H]1C(O)O\C=C(C)/2))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,CPD-21280,7-deoxyloganetic alcohol,C[C@H]1(CC[C@H]2([C@@H]1[C@H](O)O/C=C2/CO))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,CPD-9978,(6<i>E</i>)-8-oxogeranial,CC(/CC/C=C(C)/C=O)=C\C=O
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,CPD-9976,(6<i>E</i>)-8-oxogeraniol,CC(/CC/C=C(C)/C=O)=C\CO
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,CPD-9977,(6<i>E</i>)-8-hydroxygeranial,CC(/CC/C=C(C)/CO)=C\C=O
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,CPD-7857,(6<i>E</i>)-8-hydroxygeraniol,CC(/CC/C=C(C)/CO)=C\CO
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,CPD-16440,iridotrial,C[C@H]1(CC[C@@H]2(C(/C=O)=C\O[C@@H](O)[C@H]12))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,CPD-9980,7-deoxyloganetate,C[C@H]1(CC[C@@H]2(C(/C(=O)[O-])=C\O[C@@H](O)[C@H]12))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,LOGANATE,loganate,C[C@H]1([C@@H](O)C[C@H]3([C@@H]1[C@H](O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)2))O/C=C3/C([O-])=O))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,LOGANIN,loganin,C[C@H]1([C@@H](O)C[C@H]3([C@@H]1[C@H](O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)2))O/C=C3/C(OC)=O))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,CPD-9981,7-deoxyloganate,C[C@H]1(CC[C@H]3([C@@H]1[C@H](O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)2))O/C=C3/C([O-])=O))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,GERANYL-PP,geranyl diphosphate,CC(C)=CCCC(\C)=C/COP([O-])(OP(=O)([O-])[O-])=O
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,GERANIOL,geraniol,CC(C)=CCCC(\C)=C/CO
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,SECOLOGANIN-CPD,secologanin,C=C[C@H]1([C@@H](O/C=C([C@@H](CC=O)1)/C(=O)OC)O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)2))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,TRYPTAMINE,tryptamine,C([NH3+])CC1(\C2(/C=C\C=C/C(/N\C=1)=2))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,STRICTOSIDINE,3-&alpha;(<i>S</i>)-strictosidine,C=C[C@@H]4([C@H](C[C@H]1(C2(\NC3(\C(/C(\CC[NH2+]1)=2)=C/C=C\C=3))))C(/C(=O)OC)=C\O[C@H]4O[C@H]5(O[C@H]([C@@H]([C@H]([C@@H]5O)O)O)CO))
PWY-5290,TERPENOID-ALKALOIDS,secologanin and strictosidine biosynthesis,TRP,L-tryptophan,C1(\NC2(/C=C\C=C/C(/C(\C[C@H]([NH3+])C(=O)[O-])=1)=2))
PWY18C3-13,DITERPENOID-SYN,<i>cis</i>-abienol biosynthesis,CPD-12745,(13<i>E</i>)-8&alpha;-hydroxylabd-13-en-15-yl diphosphate,CC(/CC[C@@H]1([C@]2(CCCC(C)(C)[C@@H](CC[C@](O)(C)1)2)C))=C\COP([O-])(=O)OP([O-])(=O)[O-]
PWY18C3-13,DITERPENOID-SYN,<i>cis</i>-abienol biosynthesis,CPD-14803,cis-abienol,C=CC(\C)=C/C[C@@H]1([C@]2(CCCC(C)(C)[C@@H](CC[C@](O)(C)1)2)C)
PWY18C3-13,DITERPENOID-SYN,<i>cis</i>-abienol biosynthesis,GERANYLGERANYL-PP,geranylgeranyl diphosphate,CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
PWY-5317,TROPANE-ALKALOIDS,hyoscyamine and scopolamine biosynthesis,CPD-2202,(6S)-hydroxyhyoscyamine,C[NH+]1([C@@H]2([C@@H](O)C[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C3(\C=C/C=C\C=3)))
PWY-5317,TROPANE-ALKALOIDS,hyoscyamine and scopolamine biosynthesis,SCOPOLAMINE,scopolamine,CN2([C@H]3(C[C@@H](OC([C@@H](C1(\C=C/C=C\C=1))CO)=O)C[C@H]2[C@@H]4(O[C@H]34)))
PWY-5317,TROPANE-ALKALOIDS,hyoscyamine and scopolamine biosynthesis,L-HYOSCYAMINE,(<i>S</i>)-atropine,C[NH+]1([C@@H]2(C[C@@H](C[C@@H]1CC2)OC(=O)[C@H](CO)C3(\C=C/C=C\C=3)))
PWY-5317,TROPANE-ALKALOIDS,hyoscyamine and scopolamine biosynthesis,CPD-7996,littorine,C[NH+]1([C@@H]2(C[C@@H](C[C@@H]1CC2)OC(=O)[C@H](O)CC3(\C=C/C=C\C=3)))
PWY-5317,TROPANE-ALKALOIDS,hyoscyamine and scopolamine biosynthesis,TROPINE,tropine,C[NH+]1([C@@H]2(CC[C@@H]1C[C@H](O)C2))
PWY-5317,TROPANE-ALKALOIDS,hyoscyamine and scopolamine biosynthesis,TROPINONE,tropinone,C[NH+]1([C@@H]2(CC[C@@H]1CC(=O)C2))
PWY-5317,TROPANE-ALKALOIDS,hyoscyamine and scopolamine biosynthesis,CPD-7995,hygrine,CC(CC1([NH+](CCC1)C))=O
PWY-5317,TROPANE-ALKALOIDS,hyoscyamine and scopolamine biosynthesis,CPD-7994,N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation,C[N+]1(\CCC\C=1)
PWY-5665,Vanillin-Biosynthesis,vanillin biosynthesis I,CPD-7616,"3,4-dihydroxybenzaldehyde",C(C1(\C=C(C(/O)=C\C=1)\O))=O
PWY-5665,Vanillin-Biosynthesis,vanillin biosynthesis I,VANILLIN,vanillin,COC1(\C(\O)=C/C=C(/C=1)/C=O)
PWY-5665,Vanillin-Biosynthesis,vanillin biosynthesis I,4-HYDROXYBENZALDEHYDE,4-hydroxybenzaldehyde,C(C1(\C=C/C(/O)=C\C=1))=O
PWY-5665,Vanillin-Biosynthesis,vanillin biosynthesis I,COUMARATE,4-coumarate,C(=O)([O-])/C=C/C1(\C=C/C(/O)=C\C=1)
PWY-7189,FLAVONE-SYN,pinocembrin <i>C</i>-glucosylation,CPD-15078,"1-phenyl-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione",C2(\C=C/C(/C(=O)CC(=O)C1(/C(/O)=C\C(\O)=C/C(/O)=1))=C\C=2)
PWY-7189,FLAVONE-SYN,pinocembrin <i>C</i>-glucosylation,CPD-15091,"1-phenyl-3-(3-<i>C</i>-glucosyl-2,4,6-trihydroxyphenyl)propane-1,3-dione",C3(\C=C/C(/C(=O)CC(=O)C2(/C(/O)=C([C@H]1([C@@H]([C@H]([C@H](O)[C@H](O1)CO)O)O))\C(\O)=C/C(/O)=2))=C\C=3)
PWY-7189,FLAVONE-SYN,pinocembrin <i>C</i>-glucosylation,CPD-15087,6-<i>C</i>-glucosyl chrysin,C([C@@H]4([C@H]([C@@H]([C@H]([C@H](C3(/C(/O)=C2(C(/OC(/C1(\C=C/C=C\C=1))=C/C2=O)=C\C(\[O-])=3)))O4)O)O)O))O
PWY-7189,FLAVONE-SYN,pinocembrin <i>C</i>-glucosylation,CPD-15084,8-<i>C</i>-glucosyl chrysin,C([C@@H]4([C@H]([C@@H]([C@H]([C@H](C2(/C3(/OC(/C1(\C=C/C=C\C=1))=C/C(C(/C(/O)=C\C(\O)=2)=3)=O)))O4)O)O)O))O
PWY-7189,FLAVONE-SYN,pinocembrin <i>C</i>-glucosylation,CPD-15080,"2,5,7-trihydroxyflavanone",C3(\C=C/C(/C1(O)(OC2(\C(\C(=O)C1)=C(/C=C(/C=2)/[O-])\O)))=C\C=3)
PWY-7189,FLAVONE-SYN,pinocembrin <i>C</i>-glucosylation,CPD-6991,(2S)-pinocembrin,C3(\C=C/C(/[C@H]1(OC2(\C(\C(C1)=O)=C(/C=C(/C=2)/[O-])\O)))=C\C=3)
PWY-5821,ISOFLAVONOID-SYN,dalcochinin biosynthesis,CPD-9677,dalcochinin-8'-O-&beta;-glucoside,C=C(CO[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))[C@H]2(CC4(/C(/O2)=C\C=C3([C@H](O)C5(C(OC/3=4)COC6(\C\5=C/C(/OC)=C(/C=6)/OC)))))
PWY-5821,ISOFLAVONOID-SYN,dalcochinin biosynthesis,CPD-9711,dalcochinin,C=C([C@@H]2(OC3(\C=C/C4(/[C@@H]([C@H]1(C5(/C=C(C(/OC)=C\C(OC[C@H]1OC(/C(\C2)=3)=4)=5)/OC)))O))))CO
PWY-6029,FLAVONOID-SYN,"2,3-<i>trans</i>-flavanols biosynthesis",CPD-1962,(+)-afzelechin,C3(/C=C(\C=C/C(/[C@@H]1([C@@H](O)CC2(/C(/O1)=C\C(\O)=C/C(/O)=2)))=3)/O)
