Name,SMILES,Metabolite,Type,ACYLSUGAR-BIOSYNTHESIS,ALKALOIDS-SYN,ANTHOCYANIN-SYN,APOCAROTENOID-SYN,AURONE-SYN,Abscisic-Acid-Biosynthesis,Aroma-Compound-Biosynthesis,Auxin-Biosynthesis,BETALAIN-ALKALOIDS,C40-Carotenoids-Biosynthesis,CINNAMATE-SYN,COUMARIN-SYN,CYANOGENIC-GLUCOSIDE-SYN,CYCLITOLS,CYTOKININ-BIOSYNTHESIS,Caffeine-Biosynthesis,Cyclitols-Biosynthesis,DITERPENOID-SYN,FATTY-ACID-DERIVATIVE-SYN,FLAVANONES-SYN,FLAVONE-SYN,FLAVONOID-SYN,FLAVONOL-SYN,GIBBERELLIN-SYN,GIBBERELLINS-BIOSYNTHESIS,GLUCOSINOLATE-SYN,INDOLE-PHYTOALEXIN-SYN,ISOFLAVONOID-PHYTOALEXINS,ISOFLAVONOID-SYN,ISOPRENOIDS,ISOQUINOLINE-ALKALOIDS,Jasmonates-Biosynthesis,LEUCOANTHOCYANIDIN-SYN,LIGNAN-SYN,LIGNIN-SYN,Lycopene-Biosynthesis,MEP-Pathways,MONOTERPENOID-SYN,N-CONTAINING-SECONDARY-CMPD-SYN,NON-PROTEIN-AMINO-ACID-SYN,PHENYLPROPANOID-SYN,PHYTOALEXIN-SYN,POLYKETIDE-SYN,PYRROLIDINE-ALKALOIDS,Phytate-Biosynthesis,Plant-Hormone-Biosynthesis,QUINOLINE-ALKALOIDS,QUINONE-SYN,Resin-Acids-Biosynthesis,Rosmarinate-Biosynthesis,Rotenoids-Biosynthesis,S-CONTAINING-SECONDARY-CMPD-SYN,SESQUITERPENE-LACTONE,SESQUITERPENOID-SYN,SUGAR-DERIVS,TERPENOID-ALKALOIDS,TERPENOID-PHYTOALEXINS,TERPENOPHENOLICS-SYN,TRITERPENOID-SYN,TROPANE-ALKALOIDS,Terpenoid-Biosynthesis,Toxin-Biosynthesis,XANTHONE-SYN,Yatein-Biosynthesis
&alpha;-curcumene,CC(C)=CCCC(C)C1(\C=C/C(\C)=C\C=1),CPD-11391,['SESQUITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
&alpha;-eudesmol,CC2(\C1([C@](CC[C@@H](C(O)(C)C)C1)(C)CC\C=2)),CPD-11430,['SESQUITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
&alpha;-fenchene,C=C1(C2(C(C)(C)C(C1)CC2)),CPD-12222,"['MONOTERPENOID-SYN', 'MONOTERPENOID-SYN']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&alpha;-fenchocamphorone,CC1(C)(C2(CC(C1CC2)=O)),CPD-12224,"['MONOTERPENOID-SYN', 'MONOTERPENOID-SYN']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&alpha;-humulene,CC1(/C/C=C/C(C/C=C(C)/CC/C=1)(C)C),CPD-8233,"['SESQUITERPENOID-SYN', 'SESQUITERPENOID-SYN']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
&alpha;-linolenate,CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)[O-],LINOLENIC_ACID,"['FATTY-ACID-DERIVATIVE-SYN', 'FATTY-ACID-DERIVATIVE-SYN', 'FATTY-ACID-DERIVATIVE-SYN', 'FATTY-ACID-DERIVATIVE-SYN']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&alpha;-longipinene,CC1(\C3(C2(C(CCCC(C(C\C=1)2)3C)(C)C))),CPD-8762,['SESQUITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
&alpha;-patchoulene,CC2(CCC13(C(C)(C(CC12)C\C=C(C)/3)C)),CPD-11413,['SESQUITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
&alpha;-phellandrene,CC(C)C1(C\C=C(C)/C=C\1),CPD-12226,['MONOTERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&alpha;-selinene,C=C(C)[C@H]1(C[C@H]2(C(/C)=C/CC[C@@](CC1)(C)2)),CPD-21652,['SESQUITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
&alpha;-solanine,C[C@@H]3(C[NH+]2([C@H]1(C[C@@H]4([C@]([C@H]1[C@@H]([C@H]2CC3)C)(C)CC[C@H]8([C@H]4C\C=C9(C[C@@H](O[C@@H]5(O[C@@H]([C@H](O)[C@@H]([C@H]5O[C@@H]6(O[C@@H](C)[C@@H]([C@H]([C@H]6O)O)O))O[C@H]7(O[C@H](CO)[C@H]([C@@H]([C@H]7O)O)O))CO))CC[C@@]8(C)9)))))),CPD-9211,['ALKALOIDS-SYN'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&alpha;-terpinene,CC(C1(\CCC(/C)=C/C=1))C,CPD-8735,['MONOTERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&alpha;-tomatine,C[C@H]%10(CC[C@@]1(O[C@@H]9([C@H]([C@H](C)1)[C@]8(C)([C@H]([C@H]7([C@@H]([C@]6(C)([C@H](C[C@@H](O[C@@H]5(O[C@H](CO)[C@H](O[C@@H]4(O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2(OC[C@@H](O)[C@H](O)[C@@H](O)2))[C@@H](O[C@@H]3(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)3))4))[C@H](O)[C@@H](O)5))CC6)CC7))CC8))C9)))(NC%10)),CPD-17696,['ALKALOIDS-SYN'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-D-fructofuranose 6-phosphate,C(OP(=O)([O-])[O-])[C@H]1(O[C@](O)(CO)[C@@H](O)[C@H](O)1),FRUCTOSE-6P,['SUGAR-DERIVS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"&beta;-D-fructose 1,6-bisphosphate",C([C@@H]1([C@H]([C@@H]([C@](O1)(COP(=O)([O-])[O-])O)O)O))OP([O-])(=O)[O-],FRUCTOSE-16-DIPHOSPHATE,"['Aroma-Compound-Biosynthesis', 'SUGAR-DERIVS']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
&beta;-D-gentiobiosyl &beta;-D-glucosyl crocetin,CC(/C=C/C=C(C)/C(=O)O[C@H]1([C@@H]([C@@H](O)[C@@H]([C@H](O1)CO)O)O))=C\C=C\C=C(C)\C=C\C=C(C)\C(=O)O[C@@H]2(O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO[C@H]3([C@@H]([C@@H](O)[C@@H]([C@@H](CO)O3)O)O)),CPD-8665,['APOCAROTENOID-SYN'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-D-gentiobiosyl crocetin,CC(/C=C/C=C(C)/C(=O)[O-])=C\C=C\C=C(C)\C=C\C=C(C)\C(=O)O[C@@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO[C@H]2([C@@H]([C@@H](O)[C@@H]([C@@H](CO)O2)O)O)),CPD-8664,['APOCAROTENOID-SYN'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-D-glucosyl crocetin,CC(/C=C/C=C(C)/C(=O)[O-])=C\C=C\C=C(C)\C=C\C=C(C)\C(=O)O[C@@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO),CPD-8663,['APOCAROTENOID-SYN'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-amyrin,CC4(C[C@H]5(C2(\[C@]([C@@]1(CC[C@H]3(C(C)(C)[C@H](CC[C@]([C@H]1C\C=2)3C)O))C)(CC[C@@](C)(CC4)5)C)))C,CPD-6948,"['TRITERPENOID-SYN', 'TRITERPENOID-SYN', 'TRITERPENOID-SYN', 'TRITERPENOID-SYN', 'TRITERPENOID-SYN', 'TRITERPENOID-SYN', 'TRITERPENOID-SYN']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
&beta;-carotene,CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)CCCC(/C)=2),CPD1F-129,"['C40-Carotenoids-Biosynthesis', 'C40-Carotenoids-Biosynthesis', 'Plant-Hormone-Biosynthesis', 'C40-Carotenoids-Biosynthesis', 'C40-Carotenoids-Biosynthesis', 'C40-Carotenoids-Biosynthesis']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"&beta;-cembratriene-4,6-diol",CC([C@H]1(/C=C/[C@@](C)(O)C[C@@H](O)/C=C(C)/CC/C=C(C)/CC1))C,CPD-18856,['DITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-cembratriene-ol,CC(C)[C@H]1(/C=C/[C@@](C)(O)CC/C=C(C)/CC/C=C(C)/CC1),CPD-18855,['DITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-chaconine,C[C@H]7(CC[C@@H]8([C@@H](C)[C@H]3([C@H](C[C@H]2([C@@H]4(C\C=C1(C[C@H](CC[C@@](C)1[C@@H](CC[C@@](C)23)4)O[C@H]5([C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O[C@H]6([C@@H]([C@@H]([C@H]([C@H](C)O6)O)O)O))))))[NH+](C7)8))),CPD-9215,['ALKALOIDS-SYN'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-citraurin,CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)C[C@@H](CC(/C)=1)O))=C\C=C\C=C(C)\C=C\C=C(C)\C=O,CPD-17216,['APOCAROTENOID-SYN'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-cryptoxanthin,CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@@H](CC(/C)=2)O),CPD-7409,"['C40-Carotenoids-Biosynthesis', 'C40-Carotenoids-Biosynthesis']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-eudesmol,C=C1(CCC[C@@]2(C)(C1C[C@H](C(O)(C)C)CC2)),CPD-11432,['SESQUITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
&beta;-fenchene,C=C1(C2(CC(C(C)(C)1)C(C)(C)C2)),CPD-12223,['MONOTERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-fenchocamphorone,CC2(C)(C1(CC(C(=O)C(C)(C)1)C2)),CPD-12225,['MONOTERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-methylenecyclopropyl pyruvate,C=C1(CC(CC(=O)C(=O)[O-])1),CPD-9739,['Toxin-Biosynthesis'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
&beta;-myrcene,C=CC(CCC=C(C)C)=C,CPD-4888,"['MONOTERPENOID-SYN', 'MONOTERPENOID-SYN']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-nicotinate D-ribonucleotide,C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@@H](O1)[N+]2(\C=C/C=C(/C=2)/C(=O)[O-])),NICOTINATE_NUCLEOTIDE,"['PYRROLIDINE-ALKALOIDS', 'PYRROLIDINE-ALKALOIDS']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-patchoulene,CC2(CCC3(/C1(C)(C(C)(C)C(CC1)CC\2=3))),CPD-11414,['SESQUITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
&beta;-peltatin,COC1(/C=C(/C=C(C(\OC)=1)/OC)[C@H]3([C@H]5(C(=O)OC[C@H](CC4(C(\O)=C2(C(/OCO2)=C\C3=4)))5))),CPD-8960,['LIGNAN-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-peltatin-A methyl ether,COC1(\C(\OC)=C(C=C(/C=1)[C@H]3([C@H]5(C(=O)OC[C@H](CC4(C(\OC)=C2(C(/OCO2)=C\C3=4)))5)))\OC),CPD-8961,['LIGNAN-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-phellandrene,CC(C1(CCC(\C=C/1)=C))C,Beta-phellandrene,['MONOTERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&beta;-selinene,C=C(C)[C@H]1(C[C@H]2(C(CCC[C@@](CC1)(C)2)=C)),CPD-11504,['SESQUITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
